UNIQUE_id,PSYCH_big_five_inventory_neurotic_score,CONNECTION_activities_greeted_neighbour_or_stranger_p3m
cscs_09770,NA,NA
cscs_09772,NA,A few times a month
cscs_09773,NA,Weekly
cscs_09774,NA,Weekly
cscs_09775,25,Daily or almost daily
cscs_09777,NA,Weekly
cscs_09778,NA,NA
cscs_09779,NA,A few times a week
cscs_09781,NA,Less than monthly
cscs_09782,NA,A few times a month
cscs_09783,NA,Weekly
cscs_09784,NA,Daily or almost daily
cscs_09785,24,NA
cscs_09786,NA,Weekly
cscs_09787,NA,NA
cscs_09788,NA,A few times a month
cscs_09789,NA,Weekly
cscs_09790,NA,NA
cscs_09791,NA,Monthly
cscs_09792,NA,Monthly
cscs_09793,NA,Weekly
cscs_09794,NA,NA
cscs_09795,NA,Less than monthly
cscs_09796,NA,NA
cscs_09797,NA,Less than monthly
cscs_09798,NA,NA
cscs_09800,NA,NA
cscs_09801,NA,NA
cscs_09802,NA,A few times a month
cscs_09803,NA,NA
cscs_09804,NA,A few times a month
cscs_09805,26,Weekly
cscs_09806,NA,NA
cscs_09807,NA,NA
cscs_09808,NA,A few times a month
cscs_09809,28,A few times a week
cscs_09810,NA,NA
cscs_09811,17,A few times a week
cscs_09814,NA,NA
cscs_09815,25,Daily or almost daily
cscs_09816,NA,A few times a week
cscs_09817,NA,NA
cscs_09818,28,NA
cscs_09819,NA,A few times a week
cscs_09819,NA,Daily or almost daily
cscs_09819,24,Daily or almost daily
cscs_09819,NA,Daily or almost daily
cscs_09820,NA,Daily or almost daily
cscs_09821,31,Daily or almost daily
cscs_09822,NA,NA
cscs_09823,NA,NA
cscs_09824,NA,Monthly
cscs_09826,20,Daily or almost daily
cscs_09827,NA,NA
cscs_09828,NA,NA
cscs_09829,NA,A few times a month
cscs_09830,NA,Less than monthly
cscs_09831,28,Monthly
cscs_09832,NA,A few times a week
cscs_09833,NA,Daily or almost daily
cscs_09834,NA,NA
cscs_09835,NA,NA
cscs_09836,24,Daily or almost daily
cscs_09837,NA,NA
cscs_09838,NA,Daily or almost daily
cscs_09839,NA,NA
cscs_09840,NA,NA
cscs_09841,NA,A few times a month
cscs_09842,NA,NA
cscs_09843,NA,Monthly
cscs_09845,NA,NA
cscs_09846,30,Weekly
cscs_09847,NA,NA
cscs_09848,NA,A few times a month
cscs_09849,NA,Daily or almost daily
cscs_09850,NA,Less than monthly
cscs_09850,26,Less than monthly
cscs_09850,NA,Less than monthly
cscs_09851,16,A few times a week
cscs_09852,NA,Daily or almost daily
cscs_09853,NA,Monthly
cscs_09854,NA,NA
cscs_09856,NA,Weekly
cscs_09857,NA,NA
cscs_09858,22,A few times a week
cscs_09859,NA,Weekly
cscs_09860,NA,NA
cscs_09861,NA,NA
cscs_09862,NA,Less than monthly
cscs_09863,NA,NA
cscs_09864,NA,Daily or almost daily
cscs_09864,NA,Daily or almost daily
cscs_09864,NA,A few times a week
cscs_09865,NA,Daily or almost daily
cscs_09866,24,A few times a week
cscs_09867,NA,NA
cscs_09868,NA,NA
cscs_09869,NA,A few times a month
cscs_09872,NA,NA
cscs_09873,NA,A few times a week
cscs_09874,12,A few times a week
cscs_09875,NA,Less than monthly
cscs_09875,NA,A few times a month
cscs_09875,NA,Daily or almost daily
cscs_09876,NA,A few times a month
cscs_09877,30,A few times a week
cscs_09878,NA,NA
cscs_09880,NA,A few times a month
cscs_09881,NA,NA
cscs_09882,19,Daily or almost daily
cscs_09883,NA,NA
cscs_09884,38,Less than monthly
cscs_09886,24,NA
cscs_09887,NA,NA
cscs_09888,NA,A few times a month
cscs_09889,15,Daily or almost daily
cscs_09890,NA,NA
cscs_09891,NA,NA
cscs_09892,NA,A few times a week
cscs_09893,NA,NA
cscs_09893,NA,Weekly
cscs_09893,NA,Daily or almost daily
cscs_09894,NA,A few times a month
cscs_09895,NA,A few times a week
cscs_09896,18,Daily or almost daily
cscs_09897,NA,NA
cscs_09898,30,A few times a month
cscs_09899,NA,Weekly
cscs_09900,36,Monthly
cscs_09901,NA,Daily or almost daily
cscs_09902,NA,NA
cscs_09903,NA,NA
cscs_09904,33,A few times a month
cscs_09905,NA,NA
cscs_09906,NA,NA
cscs_09907,NA,NA
cscs_09908,23,A few times a month
cscs_09910,NA,NA
cscs_09911,NA,NA
cscs_09912,NA,A few times a week
cscs_09913,NA,Weekly
cscs_09914,NA,NA
cscs_09915,NA,NA
cscs_09916,NA,NA
cscs_09917,NA,NA
cscs_09918,NA,NA
cscs_09920,NA,Weekly
cscs_09921,21,Weekly
cscs_09922,NA,NA
cscs_09924,NA,NA
cscs_09925,NA,A few times a month
cscs_09926,NA,NA
cscs_09928,NA,A few times a month
cscs_09929,NA,Not in the past three months
cscs_09930,26,Weekly
cscs_09931,NA,NA
cscs_09932,22,A few times a month
cscs_09933,NA,Daily or almost daily
cscs_09934,NA,NA
cscs_09935,NA,Daily or almost daily
cscs_09936,36,NA
cscs_09937,NA,Weekly
cscs_09938,24,NA
cscs_09939,NA,NA
cscs_09940,NA,NA
cscs_09941,18,A few times a week
cscs_09942,NA,NA
cscs_09943,NA,NA
cscs_09944,NA,NA
cscs_09945,NA,A few times a week
cscs_09947,14,Monthly
cscs_09948,NA,NA
cscs_09949,NA,Daily or almost daily
cscs_09950,NA,A few times a week
cscs_09951,25,NA
cscs_09952,NA,NA
cscs_09953,NA,NA
cscs_09954,13,A few times a month
cscs_09955,NA,NA
cscs_09956,NA,NA
cscs_09957,NA,Less than monthly
cscs_09958,NA,NA
cscs_09959,NA,Weekly
cscs_09961,NA,NA
cscs_09962,32,Daily or almost daily
cscs_09963,NA,NA
cscs_09964,NA,NA
cscs_09965,NA,A few times a month
cscs_09966,NA,NA
cscs_09967,NA,A few times a week
cscs_09967,NA,Daily or almost daily
cscs_09968,NA,NA
cscs_09969,NA,Daily or almost daily
cscs_09970,NA,Daily or almost daily
cscs_09971,NA,NA
cscs_09972,NA,NA
cscs_09973,NA,NA
cscs_09974,NA,NA
cscs_09975,NA,Weekly
cscs_09976,NA,A few times a week
cscs_09977,NA,A few times a month
cscs_09978,NA,NA
cscs_09979,NA,NA
cscs_09980,24,NA
cscs_09981,NA,NA
cscs_09982,NA,A few times a week
cscs_09983,NA,Less than monthly
cscs_09984,NA,NA
cscs_09986,NA,NA
cscs_09987,NA,NA
cscs_09988,NA,A few times a month
cscs_09989,NA,NA
cscs_09990,15,NA
cscs_09991,NA,Less than monthly
cscs_09992,NA,NA
cscs_09993,NA,NA
cscs_09994,NA,A few times a month
cscs_09994,NA,Monthly
cscs_09994,NA,A few times a month
cscs_09995,NA,NA
cscs_09996,NA,NA
cscs_09997,NA,NA
cscs_09998,28,A few times a week
cscs_09999,31,NA
cscs_10000,NA,NA
cscs_10001,NA,NA
cscs_10002,NA,Weekly
cscs_10002,NA,A few times a week
cscs_10003,NA,NA
cscs_10003,NA,Daily or almost daily
cscs_10004,NA,Monthly
cscs_10005,NA,A few times a week
cscs_10006,NA,Daily or almost daily
cscs_10009,31,A few times a week
cscs_10010,31,A few times a week
cscs_10011,NA,NA
cscs_10012,NA,Weekly
cscs_10012,NA,NA
cscs_10012,NA,A few times a week
cscs_10013,NA,NA
cscs_10015,NA,NA
cscs_10016,NA,NA
cscs_10017,NA,NA
cscs_10018,35,Daily or almost daily
cscs_10019,NA,Monthly
cscs_10020,NA,NA
cscs_10021,NA,NA
cscs_10022,NA,NA
cscs_10023,NA,NA
cscs_10024,NA,NA
cscs_10025,NA,Less than monthly
cscs_10026,NA,Monthly
cscs_10027,NA,NA
cscs_10028,NA,Daily or almost daily
cscs_10029,NA,NA
cscs_10030,36,Monthly
cscs_10031,NA,NA
cscs_10032,NA,NA
cscs_10033,NA,Weekly
cscs_10034,NA,NA
cscs_10035,NA,Daily or almost daily
cscs_10036,34,A few times a week
cscs_10037,13,Monthly
cscs_10038,15,Monthly
cscs_10039,NA,Daily or almost daily
cscs_10039,NA,Weekly
cscs_10039,NA,A few times a week
cscs_10040,NA,Weekly
cscs_10040,NA,Monthly
cscs_10041,NA,NA
cscs_10042,14,NA
cscs_10043,NA,A few times a month
cscs_10044,NA,Daily or almost daily
cscs_10044,NA,Daily or almost daily
cscs_10044,NA,Daily or almost daily
cscs_10045,NA,Less than monthly
cscs_10046,NA,Weekly
cscs_10047,NA,NA
cscs_10048,NA,NA
cscs_10049,NA,NA
cscs_10050,NA,NA
cscs_10051,NA,Daily or almost daily
cscs_10051,NA,A few times a week
cscs_10052,34,A few times a week
cscs_10053,NA,NA
cscs_10054,NA,Weekly
cscs_10055,NA,NA
cscs_10056,NA,Daily or almost daily
cscs_10057,NA,A few times a week
cscs_10058,NA,Daily or almost daily
cscs_10059,NA,NA
cscs_10060,NA,Daily or almost daily
cscs_10061,NA,NA
cscs_10062,NA,NA
cscs_10063,NA,NA
cscs_10064,32,Daily or almost daily
cscs_10065,NA,NA
cscs_10066,NA,A few times a month
cscs_10067,NA,NA
cscs_10068,NA,Less than monthly
cscs_10069,NA,A few times a week
cscs_10070,NA,NA
cscs_10071,NA,NA
cscs_10072,NA,A few times a month
cscs_10073,NA,NA
cscs_10074,NA,A few times a week
cscs_10075,NA,Daily or almost daily
cscs_10076,NA,Daily or almost daily
cscs_10077,NA,NA
cscs_10079,31,Daily or almost daily
cscs_10080,NA,A few times a week
cscs_10081,30,A few times a week
cscs_10082,NA,Not in the past three months
cscs_10083,NA,Daily or almost daily
cscs_10084,NA,Daily or almost daily
cscs_10085,NA,Weekly
cscs_10086,NA,NA
cscs_10088,27,NA
cscs_10089,NA,A few times a month
cscs_10090,NA,NA
cscs_10091,NA,NA
cscs_10092,NA,Less than monthly
cscs_10093,NA,Daily or almost daily
cscs_10094,NA,NA
cscs_10095,NA,NA
cscs_10096,NA,A few times a month
cscs_10096,NA,Weekly
cscs_10097,NA,A few times a week
cscs_10098,NA,NA
cscs_10100,NA,NA
cscs_10101,NA,Less than monthly
cscs_10101,NA,Less than monthly
cscs_10101,NA,Not in the past three months
cscs_10102,NA,Weekly
cscs_10103,18,Daily or almost daily
cscs_10104,28,A few times a month
cscs_10105,NA,A few times a month
cscs_10106,NA,Daily or almost daily
cscs_10107,22,NA
cscs_10108,NA,NA
cscs_10109,35,Weekly
cscs_10110,NA,Less than monthly
cscs_10111,NA,Weekly
cscs_10112,23,A few times a week
cscs_10113,NA,NA
cscs_10114,NA,NA
cscs_10115,NA,NA
cscs_10116,NA,NA
cscs_10117,NA,NA
cscs_10118,NA,A few times a week
cscs_10118,NA,A few times a month
cscs_10118,NA,Daily or almost daily
cscs_10120,NA,Daily or almost daily
cscs_10121,NA,Weekly
cscs_10122,NA,NA
cscs_10123,30,A few times a week
cscs_10124,39,Monthly
cscs_10127,NA,Weekly
cscs_10128,NA,A few times a month
cscs_10129,NA,Daily or almost daily
cscs_10131,NA,NA
cscs_10132,NA,NA
cscs_10133,29,Weekly
cscs_10134,NA,NA
cscs_10135,NA,NA
cscs_10136,NA,A few times a month
cscs_10137,NA,A few times a week
cscs_10138,NA,NA
cscs_10139,NA,NA
cscs_10140,NA,NA
cscs_10141,NA,NA
cscs_10142,NA,NA
cscs_10143,NA,NA
cscs_10144,NA,Weekly
cscs_10144,NA,A few times a week
cscs_10144,NA,Weekly
cscs_10145,NA,NA
cscs_10146,NA,NA
cscs_10147,NA,NA
cscs_10148,NA,Daily or almost daily
cscs_10149,NA,NA
cscs_10151,NA,NA
cscs_10152,10,Daily or almost daily
cscs_10153,NA,NA
cscs_10154,NA,NA
cscs_10155,NA,NA
cscs_10156,NA,Monthly
cscs_10157,30,NA
cscs_10159,NA,NA
cscs_10160,31,A few times a week
cscs_10161,NA,NA
cscs_10162,NA,Daily or almost daily
cscs_10163,NA,NA
cscs_10164,NA,NA
cscs_10165,NA,Daily or almost daily
cscs_10166,NA,Monthly
cscs_10167,21,NA
cscs_10168,NA,A few times a week
cscs_10169,NA,Less than monthly
cscs_10170,21,NA
cscs_10171,NA,NA
cscs_10172,NA,Daily or almost daily
cscs_10173,NA,NA
cscs_10174,NA,NA
cscs_10175,NA,Daily or almost daily
cscs_10176,NA,NA
cscs_10177,NA,NA
cscs_10179,NA,NA
cscs_10180,NA,NA
cscs_10181,NA,NA
cscs_10182,NA,Daily or almost daily
cscs_10184,NA,Daily or almost daily
cscs_10185,NA,A few times a month
cscs_10186,NA,Weekly
cscs_10188,NA,Monthly
cscs_10189,NA,NA
cscs_10190,NA,Weekly
cscs_10191,NA,NA
cscs_10192,NA,NA
cscs_10193,NA,NA
cscs_10194,NA,Monthly
cscs_10195,NA,A few times a week
cscs_10196,NA,NA
cscs_10197,18,Daily or almost daily
cscs_10198,NA,NA
cscs_10199,18,Daily or almost daily
cscs_10200,NA,Weekly
cscs_10201,19,A few times a week
cscs_10202,NA,Monthly
cscs_10202,NA,Less than monthly
cscs_10203,NA,A few times a month
cscs_10204,NA,NA
cscs_10205,NA,NA
cscs_10206,NA,A few times a week
cscs_10207,21,A few times a month
cscs_10208,NA,NA
cscs_10209,NA,A few times a week
cscs_10210,NA,NA
cscs_10211,NA,Less than monthly
cscs_10212,NA,NA
cscs_10213,NA,NA
cscs_10215,NA,NA
cscs_10216,NA,A few times a week
cscs_10216,NA,A few times a week
cscs_10216,NA,A few times a week
cscs_10217,NA,NA
cscs_10218,18,A few times a week
cscs_10219,NA,Less than monthly
cscs_10220,NA,NA
cscs_10222,NA,NA
cscs_10223,NA,A few times a month
cscs_10224,NA,NA
cscs_10225,NA,NA
cscs_10226,NA,NA
cscs_10227,NA,A few times a month
cscs_10228,NA,NA
cscs_10229,NA,A few times a month
cscs_10230,NA,NA
cscs_10231,NA,A few times a month
cscs_10232,NA,NA
cscs_10233,27,A few times a week
cscs_10234,NA,NA
cscs_10235,NA,A few times a week
cscs_10236,NA,Weekly
cscs_10237,27,Daily or almost daily
cscs_10238,NA,Daily or almost daily
cscs_10239,25,Daily or almost daily
cscs_10240,NA,Daily or almost daily
cscs_10241,36,A few times a month
cscs_10243,25,NA
cscs_10244,40,Daily or almost daily
cscs_10245,NA,NA
cscs_10246,31,Less than monthly
cscs_10247,NA,NA
cscs_10248,NA,NA
cscs_10249,NA,NA
cscs_10250,NA,NA
cscs_10251,19,A few times a week
cscs_10252,NA,Weekly
cscs_10253,NA,Daily or almost daily
cscs_10254,NA,NA
cscs_10255,NA,NA
cscs_10256,NA,NA
cscs_10257,NA,NA
cscs_10258,NA,NA
cscs_10260,21,NA
cscs_10261,NA,Daily or almost daily
cscs_10261,NA,Daily or almost daily
cscs_10264,NA,NA
cscs_10265,NA,Weekly
cscs_10265,NA,Weekly
cscs_10266,NA,NA
cscs_10267,NA,NA
cscs_10268,NA,NA
cscs_10269,NA,Weekly
cscs_10269,NA,Weekly
cscs_10270,NA,NA
cscs_10271,NA,NA
cscs_10272,NA,A few times a month
cscs_10273,NA,Daily or almost daily
cscs_10274,NA,Daily or almost daily
cscs_10276,32,Less than monthly
cscs_10277,NA,Daily or almost daily
cscs_10278,24,NA
cscs_10279,NA,NA
cscs_10281,NA,A few times a month
cscs_10283,NA,NA
cscs_10284,NA,NA
cscs_10285,18,Daily or almost daily
cscs_10287,NA,Daily or almost daily
cscs_10288,19,Daily or almost daily
cscs_10289,NA,Weekly
cscs_10290,NA,Weekly
cscs_10291,NA,A few times a month
cscs_10292,NA,NA
cscs_10293,NA,NA
cscs_10294,NA,NA
cscs_10295,23,A few times a month
cscs_10296,NA,Weekly
cscs_10297,36,NA
cscs_10298,NA,NA
cscs_10299,NA,Weekly
cscs_10300,23,A few times a week
cscs_10301,NA,NA
cscs_10302,NA,NA
cscs_10305,19,A few times a month
cscs_10307,NA,Monthly
cscs_10309,NA,NA
cscs_10310,NA,NA
cscs_10311,31,NA
cscs_10313,NA,A few times a week
cscs_10314,NA,A few times a week
cscs_10316,NA,NA
cscs_10317,NA,Monthly
cscs_10318,NA,Monthly
cscs_10319,NA,A few times a week
cscs_10322,NA,NA
cscs_10323,30,Weekly
cscs_10325,NA,NA
cscs_10326,NA,Monthly
cscs_10327,NA,NA
cscs_10328,16,Daily or almost daily
cscs_10329,NA,NA
cscs_10330,23,Daily or almost daily
cscs_10331,NA,A few times a week
cscs_10332,15,A few times a week
cscs_10333,NA,NA
cscs_10334,NA,NA
cscs_10335,NA,A few times a month
cscs_10336,NA,NA
cscs_10337,33,A few times a week
cscs_10338,NA,A few times a month
cscs_10339,13,A few times a week
cscs_10340,30,NA
cscs_10341,NA,NA
cscs_10342,NA,NA
cscs_10343,24,Weekly
cscs_10344,NA,Less than monthly
cscs_10345,NA,NA
cscs_10346,17,NA
cscs_10347,NA,Weekly
cscs_10348,NA,Weekly
cscs_10349,NA,NA
cscs_10351,NA,Less than monthly
cscs_10352,NA,A few times a month
cscs_10353,NA,Less than monthly
cscs_10354,38,A few times a week
cscs_10355,NA,NA
cscs_10356,NA,NA
cscs_10357,NA,Monthly
cscs_10358,NA,A few times a month
cscs_10359,NA,NA
cscs_10360,NA,NA
cscs_10361,25,Weekly
cscs_10362,36,NA
cscs_10363,NA,A few times a week
cscs_10364,NA,NA
cscs_10365,NA,NA
cscs_10366,22,Weekly
cscs_10367,NA,NA
cscs_10368,NA,NA
cscs_10369,NA,NA
cscs_10371,NA,NA
cscs_10372,NA,NA
cscs_10373,NA,NA
cscs_10376,NA,NA
cscs_10377,NA,Monthly
cscs_10378,34,Less than monthly
cscs_10380,NA,A few times a week
cscs_10381,29,A few times a month
cscs_10382,NA,NA
cscs_10383,NA,NA
cscs_10384,NA,NA
cscs_10385,NA,NA
cscs_10388,NA,NA
cscs_10389,NA,Daily or almost daily
cscs_10390,NA,Daily or almost daily
cscs_10391,NA,NA
cscs_10392,30,Weekly
cscs_10393,19,Daily or almost daily
cscs_10394,NA,NA
cscs_10395,38,A few times a month
cscs_10396,NA,NA
cscs_10397,NA,Weekly
cscs_10398,NA,Daily or almost daily
cscs_10400,NA,Daily or almost daily
cscs_10401,NA,A few times a week
cscs_10402,NA,Monthly
cscs_10403,25,A few times a week
cscs_10405,NA,NA
cscs_10406,20,A few times a month
cscs_10407,NA,NA
cscs_10408,14,Weekly
cscs_10409,NA,Monthly
cscs_10410,28,Weekly
cscs_10411,NA,NA
cscs_10412,21,A few times a week
cscs_10413,32,Monthly
cscs_10414,NA,NA
cscs_10416,NA,Daily or almost daily
cscs_10416,NA,A few times a week
cscs_10417,NA,Monthly
cscs_10418,NA,Less than monthly
cscs_10419,NA,NA
cscs_10420,NA,Daily or almost daily
cscs_10421,NA,NA
cscs_10422,NA,NA
cscs_10423,NA,NA
cscs_10424,NA,A few times a month
cscs_10426,NA,Monthly
cscs_10427,22,Daily or almost daily
cscs_10428,8,Weekly
cscs_10429,NA,NA
cscs_10430,NA,NA
cscs_10431,NA,NA
cscs_10432,NA,NA
cscs_10433,NA,A few times a month
cscs_10433,NA,A few times a month
cscs_10434,NA,NA
cscs_10435,NA,Less than monthly
cscs_10436,NA,NA
cscs_10437,NA,NA
cscs_10438,16,Daily or almost daily
cscs_10439,NA,NA
cscs_10440,NA,A few times a week
cscs_10441,NA,NA
cscs_10442,NA,A few times a month
cscs_10443,16,A few times a week
cscs_10444,NA,A few times a week
cscs_10444,NA,Daily or almost daily
cscs_10444,NA,A few times a week
cscs_10445,NA,A few times a month
cscs_10446,NA,NA
cscs_10447,NA,Weekly
cscs_10448,NA,NA
cscs_10449,NA,NA
cscs_10450,NA,NA
cscs_10451,NA,Weekly
cscs_10452,NA,A few times a month
cscs_10453,NA,NA
cscs_10454,15,Daily or almost daily
cscs_10455,16,NA
cscs_10456,NA,NA
cscs_10457,NA,NA
cscs_10458,NA,NA
cscs_10459,NA,Daily or almost daily
cscs_10460,NA,NA
cscs_10461,NA,Daily or almost daily
cscs_10461,NA,Daily or almost daily
cscs_10461,NA,Daily or almost daily
cscs_10462,NA,NA
cscs_10463,NA,Less than monthly
cscs_10464,NA,Monthly
cscs_10465,NA,Daily or almost daily
cscs_10466,NA,NA
cscs_10467,NA,Monthly
cscs_10468,NA,NA
cscs_10469,NA,Daily or almost daily
cscs_10470,NA,NA
cscs_10471,NA,A few times a month
cscs_10472,NA,Daily or almost daily
cscs_10473,NA,NA
cscs_10474,NA,Daily or almost daily
cscs_10475,NA,Daily or almost daily
cscs_10476,NA,NA
cscs_10477,NA,A few times a week
cscs_10478,27,A few times a week
cscs_10479,NA,A few times a week
cscs_10480,NA,NA
cscs_10481,NA,NA
cscs_10482,NA,A few times a month
cscs_10483,NA,A few times a week
cscs_10484,NA,NA
cscs_10485,NA,A few times a month
cscs_10486,NA,A few times a week
cscs_10487,25,Weekly
cscs_10489,NA,NA
cscs_10490,NA,A few times a week
cscs_10491,NA,A few times a month
cscs_10492,NA,NA
cscs_10493,NA,NA
cscs_10494,17,Daily or almost daily
cscs_10496,NA,A few times a week
cscs_10497,24,Daily or almost daily
cscs_10498,NA,A few times a month
cscs_10499,NA,Monthly
cscs_10500,27,NA
cscs_10501,NA,NA
cscs_10502,NA,NA
cscs_10503,NA,Weekly
cscs_10503,NA,Daily or almost daily
cscs_10504,NA,NA
cscs_10505,NA,NA
cscs_10506,24,Daily or almost daily
cscs_10507,NA,NA
cscs_10508,27,Daily or almost daily
cscs_10509,NA,NA
cscs_10510,NA,NA
cscs_10512,NA,NA
cscs_10513,23,NA
cscs_10515,NA,NA
cscs_10516,NA,NA
cscs_10517,23,Weekly
cscs_10518,NA,Less than monthly
cscs_10519,NA,NA
cscs_10520,NA,NA
cscs_10521,NA,NA
cscs_10522,NA,A few times a week
cscs_10523,NA,Not in the past three months
cscs_10524,NA,NA
cscs_10525,NA,A few times a week
cscs_10526,NA,NA
cscs_10527,NA,NA
cscs_10528,NA,NA
cscs_10529,13,Daily or almost daily
cscs_10530,NA,Less than monthly
cscs_10531,NA,NA
cscs_10532,NA,NA
cscs_10533,NA,NA
cscs_10534,NA,A few times a month
cscs_10535,34,A few times a week
cscs_10536,31,Daily or almost daily
cscs_10537,NA,A few times a month
cscs_10539,NA,Weekly
cscs_10539,NA,Daily or almost daily
cscs_10540,28,NA
cscs_10541,NA,NA
cscs_10542,NA,NA
cscs_10543,NA,Daily or almost daily
cscs_10544,NA,NA
cscs_10545,36,A few times a week
cscs_10546,NA,A few times a week
cscs_10547,26,Weekly
cscs_10548,24,Daily or almost daily
cscs_10549,NA,NA
cscs_10551,NA,NA
cscs_10552,NA,A few times a month
cscs_10553,NA,Daily or almost daily
cscs_10554,NA,NA
cscs_10555,NA,A few times a week
cscs_10556,NA,Daily or almost daily
cscs_10557,NA,Monthly
cscs_10558,NA,NA
cscs_10559,NA,Daily or almost daily
cscs_10559,NA,A few times a week
cscs_10559,NA,A few times a week
cscs_10561,NA,NA
cscs_10563,NA,NA
cscs_10564,NA,Weekly
cscs_10565,NA,A few times a month
cscs_10566,28,A few times a week
cscs_10567,NA,NA
cscs_10568,NA,Daily or almost daily
cscs_10568,NA,Daily or almost daily
cscs_10569,NA,Daily or almost daily
cscs_10570,NA,Weekly
cscs_10571,NA,Daily or almost daily
cscs_10572,NA,NA
cscs_10573,NA,Weekly
cscs_10574,NA,Daily or almost daily
cscs_10575,24,Weekly
cscs_10577,NA,Weekly
cscs_10577,NA,Weekly
cscs_10578,NA,NA
cscs_10580,23,NA
cscs_10582,NA,Weekly
cscs_10582,NA,Daily or almost daily
cscs_10582,NA,Weekly
cscs_10584,23,A few times a month
cscs_10586,27,Daily or almost daily
cscs_10587,NA,NA
cscs_10588,NA,A few times a month
cscs_10588,NA,A few times a month
cscs_10589,NA,NA
cscs_10590,NA,NA
cscs_10591,31,Weekly
cscs_10592,NA,Monthly
cscs_10593,NA,NA
cscs_10594,NA,NA
cscs_10595,NA,Weekly
cscs_10596,NA,A few times a week
cscs_10597,NA,NA
cscs_10598,NA,A few times a week
cscs_10600,NA,NA
cscs_10601,NA,A few times a week
cscs_10602,21,Monthly
cscs_10603,NA,NA
cscs_10604,37,Daily or almost daily
cscs_10605,NA,NA
cscs_10606,NA,NA
cscs_10608,16,Daily or almost daily
cscs_10609,17,Daily or almost daily
cscs_10610,NA,NA
cscs_10612,NA,NA
cscs_10613,NA,Less than monthly
cscs_10614,NA,Daily or almost daily
cscs_10615,NA,NA
cscs_10616,NA,A few times a month
cscs_10617,NA,Daily or almost daily
cscs_10618,NA,NA
cscs_10619,NA,A few times a month
cscs_10620,33,Monthly
cscs_10621,27,Weekly
cscs_10622,NA,A few times a week
cscs_10623,NA,Monthly
cscs_10624,NA,NA
cscs_10625,NA,Weekly
cscs_10626,NA,NA
cscs_10628,16,A few times a month
cscs_10629,NA,NA
cscs_10630,NA,A few times a week
cscs_10631,NA,NA
cscs_10632,NA,NA
cscs_10634,32,Monthly
cscs_10635,NA,Weekly
cscs_10637,22,Daily or almost daily
cscs_10639,NA,NA
cscs_10640,30,Weekly
cscs_10641,NA,NA
cscs_10642,NA,NA
cscs_10643,NA,NA
cscs_10644,NA,Weekly
cscs_10645,NA,Weekly
cscs_10646,NA,Less than monthly
cscs_10647,15,A few times a month
cscs_10648,NA,NA
cscs_10649,NA,A few times a month
cscs_10649,NA,Not in the past three months
cscs_10650,NA,NA
cscs_10651,NA,Daily or almost daily
cscs_10653,NA,Weekly
cscs_10654,12,A few times a week
cscs_10655,NA,Weekly
cscs_10656,NA,NA
cscs_10657,NA,A few times a month
cscs_10658,NA,Daily or almost daily
cscs_10659,NA,A few times a week
cscs_10660,NA,NA
cscs_10661,NA,NA
cscs_10662,NA,A few times a month
cscs_10663,28,Weekly
cscs_10664,24,A few times a month
cscs_10665,NA,Daily or almost daily
cscs_10666,NA,A few times a month
cscs_10667,NA,A few times a week
cscs_10668,NA,A few times a week
cscs_10669,NA,NA
cscs_10670,NA,A few times a month
cscs_10670,NA,Monthly
cscs_10671,NA,NA
cscs_10672,NA,NA
cscs_10673,NA,Daily or almost daily
cscs_10674,NA,Weekly
cscs_10676,10,A few times a week
cscs_10677,38,Daily or almost daily
cscs_10678,30,A few times a month
cscs_10680,NA,Weekly
cscs_10681,NA,NA
cscs_10683,NA,A few times a week
cscs_10684,NA,A few times a month
cscs_10684,NA,Monthly
cscs_10684,NA,A few times a month
cscs_10685,NA,Monthly
cscs_10686,NA,Daily or almost daily
cscs_10687,NA,NA
cscs_10688,20,NA
cscs_10689,25,Daily or almost daily
cscs_10690,NA,NA
cscs_10691,NA,A few times a week
cscs_10692,NA,NA
cscs_10693,27,NA
cscs_10694,NA,Daily or almost daily
cscs_10695,NA,NA
cscs_10696,NA,Weekly
cscs_10697,NA,NA
cscs_10698,19,Daily or almost daily
cscs_10699,NA,Weekly
cscs_10700,NA,A few times a week
cscs_10701,NA,A few times a month
cscs_10702,NA,Daily or almost daily
cscs_10703,NA,Daily or almost daily
cscs_10703,NA,Daily or almost daily
cscs_10703,NA,Daily or almost daily
cscs_10703,14,Daily or almost daily
cscs_10704,NA,Daily or almost daily
cscs_10706,NA,NA
cscs_10707,NA,A few times a month
cscs_10708,NA,Weekly
cscs_10709,NA,Daily or almost daily
cscs_10709,NA,Weekly
cscs_10709,NA,Daily or almost daily
cscs_10710,NA,A few times a month
cscs_10710,NA,Daily or almost daily
cscs_10710,NA,A few times a week
cscs_10711,25,Daily or almost daily
cscs_10712,28,A few times a month
cscs_10713,NA,Daily or almost daily
cscs_10714,NA,NA
cscs_10715,NA,NA
cscs_10716,NA,NA
cscs_10717,NA,NA
cscs_10719,15,A few times a week
cscs_10720,NA,A few times a month
cscs_10721,NA,NA
cscs_10722,NA,NA
cscs_10723,29,Daily or almost daily
cscs_10724,39,Weekly
cscs_10725,NA,NA
cscs_10726,NA,A few times a week
cscs_10728,NA,A few times a month
cscs_10729,NA,NA
cscs_10730,NA,A few times a week
cscs_10731,NA,NA
cscs_10732,NA,Monthly
cscs_10733,NA,NA
