UNIQUE_id,PSYCH_big_five_inventory_neurotic_score,CONNECTION_activities_greeted_neighbour_or_stranger_p3m
cscs_00626,NA,NA
cscs_00627,24,Weekly
cscs_00628,NA,NA
cscs_00629,NA,NA
cscs_00630,NA,A few times a month
cscs_00630,NA,A few times a week
cscs_00630,NA,A few times a week
cscs_00631,NA,NA
cscs_00632,NA,NA
cscs_00633,24,Daily or almost daily
cscs_00634,19,A few times a week
cscs_00635,NA,Daily or almost daily
cscs_00635,NA,Daily or almost daily
cscs_00635,NA,Daily or almost daily
cscs_00636,NA,A few times a month
cscs_00636,NA,A few times a month
cscs_00636,NA,Weekly
cscs_00637,NA,NA
cscs_00638,33,Daily or almost daily
cscs_00639,NA,Weekly
cscs_00640,NA,NA
cscs_00641,NA,NA
cscs_00642,NA,Daily or almost daily
cscs_00643,NA,Weekly
cscs_00643,NA,Daily or almost daily
cscs_00643,NA,A few times a week
cscs_00644,NA,NA
cscs_00645,NA,NA
cscs_00646,NA,Less than monthly
cscs_00647,NA,NA
cscs_00648,35,NA
cscs_00649,24,Monthly
cscs_00650,32,Weekly
cscs_00651,34,NA
cscs_00652,NA,NA
cscs_00653,23,Weekly
cscs_00654,22,Daily or almost daily
cscs_00655,NA,NA
cscs_00656,NA,Monthly
cscs_00657,31,A few times a month
cscs_00658,29,Daily or almost daily
cscs_00658,NA,Daily or almost daily
cscs_00659,23,NA
cscs_00660,NA,NA
cscs_00661,NA,A few times a month
cscs_00662,31,A few times a month
cscs_00663,NA,NA
cscs_00664,NA,NA
cscs_00665,NA,NA
cscs_00666,NA,NA
cscs_00667,NA,Weekly
cscs_00668,20,Daily or almost daily
cscs_00669,NA,NA
cscs_00670,NA,NA
cscs_00671,NA,NA
cscs_00672,NA,NA
cscs_00673,29,A few times a month
cscs_00674,NA,A few times a week
cscs_00675,32,Daily or almost daily
cscs_00676,NA,NA
cscs_00677,NA,Less than monthly
cscs_00678,NA,Daily or almost daily
cscs_00679,NA,NA
cscs_00680,NA,NA
cscs_00681,21,Weekly
cscs_00682,NA,Weekly
cscs_00683,NA,NA
cscs_00684,NA,NA
cscs_00685,22,A few times a month
cscs_00686,NA,NA
cscs_00687,NA,NA
cscs_00688,NA,A few times a month
cscs_00689,NA,A few times a month
cscs_00690,NA,NA
cscs_00692,NA,NA
cscs_00693,NA,NA
cscs_00694,NA,Not in the past three months
cscs_00695,NA,Weekly
cscs_00696,NA,A few times a week
cscs_00697,NA,Weekly
cscs_00700,34,Less than monthly
cscs_00701,8,A few times a week
cscs_00702,NA,NA
cscs_00703,NA,A few times a month
cscs_00704,NA,NA
cscs_00705,NA,NA
cscs_00706,24,Weekly
cscs_00707,NA,NA
cscs_00708,NA,NA
cscs_00709,NA,Daily or almost daily
cscs_00710,NA,A few times a month
cscs_00710,NA,A few times a month
cscs_00711,NA,Daily or almost daily
cscs_00713,NA,Daily or almost daily
cscs_00714,NA,NA
cscs_00715,NA,NA
cscs_00716,NA,A few times a week
cscs_00717,37,A few times a week
cscs_00718,NA,NA
cscs_00719,NA,NA
cscs_00721,32,A few times a week
cscs_00722,NA,A few times a week
cscs_00722,NA,A few times a month
cscs_00723,35,Less than monthly
cscs_00725,NA,A few times a week
cscs_00726,NA,NA
cscs_00727,NA,NA
cscs_00728,NA,NA
cscs_00729,21,Daily or almost daily
cscs_00730,NA,A few times a month
